"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 18 21:38:22 EDT 2024","Tue Jun 18 21:38:23 EDT 2024","1124","chrome","test/Playwright_Day3_061124/BingSearch_Reusable.spec.ts","","","","Capture the search result",""
"passed","Tue Jun 18 21:38:18 EDT 2024","Tue Jun 18 21:38:22 EDT 2024","3616","chrome","test/Playwright_Day3_061124/BingSearch_Reusable.spec.ts","","","","Search for a keyword on Bing",""
